no	year	d_or_f	rank	title	author	translator	label	score
0732	2013年	国内篇	15位	『ファンタジスタドール イヴ』	野﨑まど		ハヤカワ文庫JA	044点
0733	2013年	国内篇	16位	『聖痕』	筒井康隆		新潮社	039点
0734	2013年	国内篇	17位	『コロロギ岳から木星トロヤへ』	小川一水		ハヤカワ文庫JA	038点
0735	2013年	国内篇	18位	『天冥の標IV 宿怨 PART3』	小川一水		ハヤカワ文庫JA	036点
0736	2013年	国内篇	18位	『ブラックライダー』	東山彰良		新潮社	036点
0737	2013年	国内篇	20位	『大空のドロテ(II・III)』	瀬名秀明		双葉社	034点
0738	2013年	海外篇	01位	『夢幻諸島から』	クリストファー・プリースト	古沢嘉通訳	新☆ハヤカワ・SF・シリーズ	470点
0739	2013年	海外篇	02位	『ブラインドサイト(上・下)』	ピーター・ワッツ	嶋田洋一訳 	創元SF文庫	392点
0740	2013年	海外篇	03位	『言語都市』	チャイナ・ミエヴィル	内田昌之訳	新☆ハヤカワ・SF・シリーズ	352点
0741	2013年	海外篇	04位	『パラークシの記憶』	マイクル・コーニイ	山岸真訳	河出文庫	243点
0742	2013年	海外篇	05位	『11/22/63(上・下)』	スティーヴン・キング	白石朗訳	文藝春秋	180点
0743	2013年	海外篇	06位	『宙の地図』	フェリクス・J・パルマ	宮﨑真紀訳	ハヤカワ文庫NV	156点
0744	2013年	海外篇	07位	『第四の館』	R・A・ラファティ	柳下毅一郎訳	国書刊行会・未来の文学	141点
0745	2013年	海外篇	08位	『オール・クリア(1・2)』	コニー・ウィリス	大森望訳	新☆ハヤカワ・SF・シリーズ	135点
0746	2013年	海外篇	09位	『クラーケン(上・下)』	チャイナ・ミエヴィル	日暮雅通訳	ハヤカワ文庫SF	129点
0747	2013年	海外篇	10位	『巨獣めざめる(上・下)』	ジェイムズ・S・A・コーリイ	中原尚哉訳	ハヤカワ文庫SF	096点
0748	2013年	海外篇	10位	『たんぽぽ娘』	ロバート・F・ヤング	伊藤典夫編	河出書房新社・奇想コレクション	096点
0749	2013年	海外篇	12位	『時を生きる種族 ファンタスティック時間SF傑作選』	ロバート・F・ヤング、フリッツ・ライバー、他	中村融編	創元SF文庫	083点
0750	2013年	海外篇	13位	『アサイラム・ピース』	アンナ・カヴァン	山田和子訳	国書刊行会	080点
0751	2013年	海外篇	14位	『昔には帰れない』	R・A・ラファティ	伊藤典夫、浅倉久志訳	ハヤカワ文庫SF	077点
0752	2013年	海外篇	15位	『怪樹の腕 〈ウィアード・テールズ〉戦前邦訳傑作選』	会津信吾、藤元直樹編		東京創元社	075点
0753	2013年	海外篇	16位	『蛇の卵』	R・A・ラファティ	井上央訳	青心社SFシリーズ	072点
0754	2013年	海外篇	17位	『機械男』	マックス・バリー	鈴木恵訳	文藝春秋	060点
0755	2013年	海外篇	18位	『ペルセウス座流星群 ファインダーズ古書店より』	ロバート・チャールズ・ウィルスン	茂木健訳	創元SF文庫	059点
0756	2013年	海外篇	19位	『未来の回想』	シギズムンド・クルジジャノフスキイ	秋草俊一郎訳	松籟社	055点
0757	2013年	海外篇	20位	『空間亀裂』	フィリップ・K・ディック	佐藤龍雄訳	創元SF文庫	051点
0758	2014年	国内篇	01位	『オービタル・クラウド』	藤井太洋		早川書房	373点
0759	2014年	国内篇	02位	『深紅の碑文(上・下)』	上田早夕里		ハヤカワSFシリーズ Jコレクション	223点
0760	2014年	国内篇	03位	『みずは無間』	六冬和生		ハヤカワSFシリーズ Jコレクション	206点
0761	2014年	国内篇	04位	『My Humanity』	長谷敏司		ハヤカワ文庫JA	182点
0762	2014年	国内篇	05位	『ミーチャ・ベリャーエフの子狐たち』	仁木稔		ハヤカワSFシリーズ Jコレクション	143点
0763	2014年	国内篇	06位	『機龍警察 未亡旅団』	月村了衛		ハヤカワ・ミステリワールド	116点
0764	2014年	国内篇	07位	『新生』	瀬名秀明		河出書房新社・NOVAコレクション	115点
0765	2014年	国内篇	08位	『北の想像力 《北海道文学》と《北海道SF》をめぐる思索の旅』	岡和田晃編		寿郎社	098点
0766	2014年	国内篇	09位	『サムライ・ポテト』	片瀬二郎		河出書房新社・NOVAコレクション	094点
0767	2014年	国内篇	10位	『NOVA+ バベル』	大森望編		河出文庫	092点
0768	2014年	国内篇	11位	『突変』	森岡浩之		徳間文庫	077点
0769	2014年	国内篇	12位	『テキスト9』	小野寺整		ハヤカワSFシリーズ Jコレクション	076点
0770	2014年	国内篇	13位	『少女庭国』	矢部嵩		ハヤカワSFシリーズ Jコレクション	074点
0771	2014年	国内篇	14位	『機巧のイヴ』	乾緑郎		新潮社	071点
0772	2014年	国内篇	15位	『ボラード病』	吉村萬壱		文藝春秋	068点
0773	2014年	国内篇	16位	『躯体上の翼』	結城充考		東京創元社	061点
0774	2014年	国内篇	17位	『サンリオSF文庫総解説』	牧眞司、大森望編		本の雑誌社	057点
0775	2014年	国内篇	17位	『ルーティーン 篠田節子SF短篇ベスト』	篠田節子 / 牧眞司編		ハヤカワ文庫JA	057点
0776	2014年	国内篇	19位	『「世界内戦」とわずかな希望――伊藤計劃・SF・現代文学』	岡和田晃		書苑新社	055点
0777	2014年	国内篇	20位	『柴野拓美SF評論集 理性と自走性――黎明より』	牧眞司編		東京創元社キイ・ライブラリー	050点
0778	2014年	海外篇	01位	『火星の人』	アンディ・ウィアー	小野田和子訳	ハヤカワ文庫SF	480点
0779	2014年	海外篇	02位	『白熱光』	グレッグ・イーガン	山岸真訳	新☆ハヤカワ・SF・シリーズ	346点
0780	2014年	海外篇	03位	『レッド・スーツ』	ジョン・スコルジー	内田昌之訳	新☆ハヤカワ・SF・シリーズ	253点
0781	2014年	海外篇	04位	『霧に橋を架ける』	キジ・ジョンスン	三角和代訳	創元海外SF叢書	216点
0782	2014年	海外篇	05位	『旋舞の千年都市(上・下)』	イアン・マクドナルド	下楠昌哉訳	創元海外SF叢書	204点
0783	2014年	海外篇	06位	『SF的な宇宙で安全に暮らすっていうこと』	チャールズ・ユウ	円城塔訳	新☆ハヤカワ・SF・シリーズ	175点
0784	2014年	海外篇	07位	『ピース』	ジーン・ウルフ	西崎憲、館野浩美訳	国書刊行会	167点
0785	2014年	海外篇	08位	『2312 太陽系動乱(上・下)』	キム・スタンリー・ロビンスン	金子浩訳	創元SF文庫	146点
0786	2014年	海外篇	09位	『図書室の魔法(上・下)』	ジョー・ウォルトン	茂木健訳	創元SF文庫	105点
0787	2014年	海外篇	10位	『モンド9』	ダリオ・トナーニ 	久保耕司訳	シーライトパブリッシング	104点
0788	2014年	海外篇	11位	『古代の遺物』	ジョン・クロウリー	浅倉久志、大森望、他訳	国書刊行会・未来の文学	096点
0789	2014年	海外篇	12位	『月の部屋で会いましょう』	レイ・ヴクサヴィッチ	岸本佐知子、市田泉訳	創元海外SF叢書	094点
0790	2014年	海外篇	13位	『オマル―導きの惑星―』	ロラン・ジュヌフォール	平岡敦訳	新☆ハヤカワ・SF・シリーズ	072点
0791	2014年	海外篇	14位	『SFマガジン700【海外篇】』	山岸真編		ハヤカワ文庫SF	069点
0792	2014年	海外篇	14位	『凍りついた空 エウロパ2113』	ジェフ・カールソン	中原尚哉訳	創元SF文庫	069点
0793	2014年	海外篇	16位	『世界が終わってしまったあとの世界で(上・下)』	ニック・ハーカウェイ	黒原敏行訳	ハヤカワ文庫NV	055点
0794	2014年	海外篇	17位	『NOS4A2―ノスフェラトゥ―(上・下)』	ジョー・ヒル	白石朗訳	小学館文庫	051点
0795	2014年	海外篇	18位	『プリティ・モンスターズ』	ケリー・リンク	柴田元幸訳	早川書房	042点
0796	2014年	海外篇	19位	『全滅領域』	ジェフ・ヴァンダミア	酒井昭伸訳	ハヤカワ文庫NV	041点
0797	2014年	海外篇	20位	『はい、チーズ』	カート・ヴォネガット	大森望訳	河出書房新社	039点
0798	2015年	国内篇	01位	『エピローグ』	円城塔		早川書房	254点
0799	2015年	国内篇	02位	『月世界小説』	牧野修		ハヤカワ文庫JA	252点
0800	2015年	国内篇	03位	『エクソダス症候群』	宮内悠介		創元日本SF叢書	200点
0801	2015年	国内篇	04位	『怨讐星域(I・II・III)』	梶尾真治		ハヤカワ文庫JA	165点
0802	2015年	国内篇	05位	『コロンビア・ゼロ 新・航空宇宙軍史』	谷甲州		早川書房	144点
0803	2015年	国内篇	06位	『母になる、石の礫で』	倉田タカシ		ハヤカワSFシリーズ Jコレクション	132点
