page	name	kana	latin	years	remarks
p16	津田道夫	つだ みちお	Tsuda Michio	1929-2014
p16	古帆里麻
p16	栗山豪
p16	丹土真紀
p16	渡辺晋	わたなべ すすむ	Watanabe Susumu	1931-	天瀬裕康(あませ ひろやす)の本名
p16	武藤紘幸
p16	美留町明
p16	久保川登志夫
p17	原田裕	はらだ ゆう	Harada Yuu	1929-
p17	多岐川恭	たきがわ きょう	Takigawa Kyou	1920-1994
p17	手塚治虫	てずか おさむ	Tezuka Osamu	1926-1989
p17	石森章太郎	いしもり しょうたろう	Ishimori Shoutarou	1938-1998
p17	石川喬司	いしかわ たかし	Ishikawa Takashi	1930-
p18	志摩四郎
p18	紀田順一郎	きだ じゅんいちろう	Kida Jun'ichirou	1935-
p18	大伴昌司	おおとも しょうじ	Ootomo Shouji	1936-1973
p18	織田邦雄
p18	黒野正和
p19	江藤淳	えとう じゅん	Etou Jun	1933-1999
p19	川村哲郎	かわむら てつろう	Kawamura Tetsurou	1930-
p19	斎藤伯好	さいとう のりよし	Saitou Noriyoshi	1935-2006
p19	真鍋博	まなべ ひろし	Manabe Hiroshi	1932-2000
p20	田中光二	たなか こうじ	Tanaka Kouji	1941-
p20	奥野健男	おくの たけお	Okuno Takeo	1926-1997
p21	牧村光夫
p21	石川駿
p21	佐々木宏
p21	荒巻義雄	あらまき よしお	Aramaki Yoshio	1933-
p21	根本斐沙子
p21	河野典生	こうの のりお	Kouno Norio	1935-2012
p21	山野浩一	やまの こういち	Yamano Kouichi	1939-2017
p21	寺山修司	てらやま しゅうじ	Terayama Shuuji	1936-1983
p21	嵐山光三郎	あらしやま こうざぶろう	Arashiyama Kouzaburou	1942-
p21	唐十郎	から じゅうろう	Kara Juurou	1940-
p22	木村荘八	きむら しょうはち	Kimura Shouhachi	1893-1958
p22	丹下健三	たんげ けんぞう	Tange Kenzou	1913-2005
p22	磯崎新	いそざき あらた	Isozaki Arata	1931-2022
p23	遠藤大也
p24	井口健二	いぐち けんじ	Iguchi Kenji	1949-
p24	鏡明	かがみ あきら	Kagami Akira	1948-
p24	深見弾	ふかみ だん / ふかみ ただし	Fukami Dan / Fukami Tadashi	1936-1992
p25	大原まり子	おおはら まりこ	Oohara Mariko	1959-
p25	笠井潔	かさい きよし	Kasai Kiyoshi	1948-
p25	高橋良平	たかはし りょうへい	Takahashi Ryouhei	1951-
p25	巽孝之	たつみ たかゆき	Tatsumi Takayuki	1955-
p25	森下一仁	もりした かつひと	Morishita Katsuhito	1951-
p25	浅倉久志	あさくら ひさし	Asakura Hisashi	1930-2010
p25	乙部順子	おとべ じゅんこ	Otobe Junko	1950-
